pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,lat,long,pl_orbper,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,st_met,sy_dist,st_logg,pl_orbsmax
TYC 3667-1280-1 b,TYC 3667-1280-1,1,1,Radial Velocity,2016,McDonald Observatory,30.6695,-104.0202,26.468,12.8,1716.282,0,98.57,0.02,477.516,3.11,0.21
TYC 4282-00605-1 b,TYC 4282-00605-1,1,1,Radial Velocity,2017,Roque de los Muchachos Observatory,28.75472,-17.885,101.54,12.4,3426.2074,0,98.57,0.02,464.128,2,0.422
Teegarden's Star b,Teegarden's Star,1,2,Radial Velocity,2019,Calar Alto Observatory,37.2208,-2.5456,4.91,1.02,1.05,0,98.57,0.02,3.83078,5.27,0.0252
Teegarden's Star c,Teegarden's Star,1,2,Radial Velocity,2019,Calar Alto Observatory,37.2208,-2.5456,11.409,1.04,1.11,0,98.57,0.02,3.83078,5.27,0.0443
Wolf 1061 b,Wolf 1061,1,3,Radial Velocity,2015,La Silla Observatory,-29.25,-70.73333333,4.8869,1.21,1.91,0.15,7.34,-0.09,4.30592,4.9,0.0375
Wolf 1061 c,Wolf 1061,1,3,Radial Velocity,2015,La Silla Observatory,-29.25,-70.73333333,17.8719,1.66,3.41,0.11,1.3,-0.09,4.30592,4.9,0.089
Wolf 1061 d,Wolf 1061,1,3,Radial Velocity,2015,La Silla Observatory,-29.25,-70.73333333,217.21,2.69,7.7,0.55,0.06,-0.09,4.30592,4.9,0.47
YZ Cet b,YZ Cet,1,3,Radial Velocity,2017,La Silla Observatory,-29.25,-70.73333333,2.02087,0.913,0.7,0.06,8.21,-0.18,3.71207,5.17,0.01634
YZ Cet c,YZ Cet,1,3,Radial Velocity,2017,La Silla Observatory,-29.25,-70.73333333,3.05989,1.05,1.14,0,4.72,-0.18,3.71207,5.17,0.02156
YZ Cet d,YZ Cet,1,3,Radial Velocity,2017,La Silla Observatory,-29.25,-70.73333333,4.65626,1.03,1.09,0.07,2.7,-0.18,3.71207,5.17,0.02851
rho CrB b,rho CrB,1,4,Radial Velocity,1997,Fred Lawrence Whipple Observatory,31.68111111,-110.8780556,39.8438,13.7,347.38645,0.038,34.7,-0.2,17.4671,4.25,0.2245
rho CrB c,rho CrB,1,4,Radial Velocity,2016,Multiple Observatories,40,20,102.19,5.78,28.2,0.096,9.85,-0.2,17.4671,4.25,0.4206
EPIC 248847494 b,EPIC 248847494,1,1,Transit,2018,K2,0,0,3650,12.442,4131.79,0,0.19,-0.23,551.886,3.52,4.5
Kepler-139 b,Kepler-139,1,2,Transit,2014,Kepler,0,0,15.771044,2.94,8.96,0,98.57,0.02,391.038,4.25,0.127
Kepler-358 b,Kepler-358,1,2,Transit,2014,Kepler,0,0,34.060467,2.72,7.85,0,98.57,0.02,1101.1,4.5,0.21
Kepler-1673 b,Kepler-1673,1,1,Transit,2020,Kepler,0,0,33.7888,2.936,8.93,0,98.57,0.02,727.187,4.38,0.2127
Kepler-246 c,Kepler-246,1,2,Transit,2014,Kepler,0,0,11.187161,1.5,2.86,0,98.57,0.02,626.078,4.56,0.095
Kepler-1126 b,Kepler-1126,1,2,Transit,2016,Kepler,0,0,108.593329,1.73,3.64,0,98.57,0.02,635.736,4.46,0.4126
Kepler-290 d,Kepler-290,1,3,Transit,2023,Kepler,0,0,0.76401755,0.86,0.566,0,98.57,0.02,694.627,4.6,0.0154
Kepler-80 d,Kepler-80,1,6,Transit,2014,Kepler,0,0,3.07222,1.53,6.75,0,98.57,0.02,369.451,4.64,0.0372
TIC 279401253 b,TIC 279401253,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),30,-60,76.8,11.209,1951.46642,0,98.57,0.02,285.584,4.44,0.369
K2-354 b,K2-354,1,1,Transit,2016,K2,0,0,3.793306,1.56,3.05,0,98.57,0.02,91.722,4.86,0
TOI-2145 b,TOI-2145,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),30,-60,10.26075,11.982,1671.77742,0,98.57,0.02,224.731,3.79,0.1108
K2-224 b,K2-224,1,2,Transit,2018,K2,0,0,4.47904,1.56,3.05,0,98.57,0.02,275.255,4.55,0.0516
Kepler-1060 b,Kepler-1060,1,1,Transit,2016,Kepler,0,0,46.8779367,2.38,6.26,0,98.57,0.02,946.565,4.44,0.2495
Kepler-1210 b,Kepler-1210,1,1,Transit,2016,Kepler,0,0,8.07124073,1.7,3.53,0,98.57,0.02,1176.53,4.49,0.0753
TOI-270 c,TOI-270,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),30,-60,5.6605731,2.355,6.15,0,98.57,0.02,22.4793,4.87,0.04526
Kepler-698 b,Kepler-698,1,1,Transit,2016,Kepler,0,0,16.32976218,3.68,13.1,0,98.57,0.02,1995.57,4.5,0.1255
Kepler-820 b,Kepler-820,1,1,Transit,2016,Kepler,0,0,127.8338098,6.09,30.8,0,98.57,0.02,1387.2,4.25,0.5829
TOI-257 b,TOI-257,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),30,-60,18.38818,7.163,43.86032,0,98.57,0.02,76.9028,4.04,0.1528
TOI-2338 b,TOI-2338,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),30,-60,22.65398,11.209,1900.61387,0,98.57,0.02,313.996,4.4,0.158
K2-331 c,K2-331,1,2,Transit,2018,K2,0,0,22.996591,2.72,7.85,0,98.57,0.02,211.43,4.43,0
Kepler-407 b,Kepler-407,1,2,Transit,2014,Kepler,0,0,0.66931,1.07,3.2,0,98.57,0.02,338.368,4.43,0.0149
K2-140 b,K2-140,1,1,Transit,2017,K2,0,0,6.569188,13.563,295.58042,0,204,0.1,347.917,4.4,0.068
Kepler-740 b,Kepler-740,1,1,Transit,2016,Kepler,0,0,3.58410122,4.57,18.9,0,98.57,0.02,1442.02,4.52,0.0462
Kepler-133 b,Kepler-133,1,2,Transit,2014,Kepler,0,0,8.129976,1.76,3.75,0,98.57,0.02,653.6,4.19,0.083
Kepler-96 b,Kepler-96,1,1,Transit,2014,Kepler,0,0,16.2385,2.67,8.46,0,98.57,0.02,122.881,4.42,0.1235
Kepler-542 b,Kepler-542,1,1,Transit,2016,Kepler,0,0,13.14497566,1.57,3.09,0,98.57,0.02,436.016,4.5,0.1038
Kepler-1225 b,Kepler-1225,1,1,Transit,2016,Kepler,0,0,7.01075434,1.82,3.97,0,98.57,0.02,1347.52,4.34,0.0771
TOI-3757 b,TOI-3757,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),30,-60,3.438753,12,85.3,0,98.57,0.02,181.139,4.68,0.03845
Kepler-1402 b,Kepler-1402,1,1,Transit,2016,Kepler,0,0,2.03387914,0.76,0.363,0,98.57,0.02,1493.64,4.53,0.0322
K2-245 b,K2-245,1,1,Transit,2018,K2,0,0,11.89307,4.34,17.4,0,98.57,0.02,456.064,4.16,0.0959
K2-342 b,K2-342,1,1,Transit,2018,K2,0,0,11.561052,2.03,4.78,0,98.57,0.02,208.357,4.36,0
HATS-75 b,HATS-75,1,1,Transit,2021,HATSouth,-31.2752,149.0686,2.7886556,9.909,156.05375,0.064,59.26,0.522,194.964,4.68,0.032742
HD 18599 b,HD 18599,2,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),30,-60,4.1374354,2.6,24.1,0.34,145,0,38.5653,4.54,0.048
WASP-73 b,WASP-73,1,1,Transit,2014,SuperWASP,28.76,-17.88,4.08722,15.917,908.9938,0,2242.36,0.14,316.678,3.93,0.05512
TOI-1266 b,TOI-1266,1,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),30,-60,10.894843,2.37,13.5,0,98.57,0.02,36.0118,4.85,0.0736
WASP-117 b,WASP-117,1,1,Transit,2014,SuperWASP,28.76,-17.88,10.02165,11.882,95.349,0.3,211.79,-0.11,157.963,4.28,0.09459
K2-264 b,K2-264,1,2,Transit,2018,K2,0,0,5.840002,2.231,5.61,0,98.57,0.02,185.605,4.78,0.05023
Kepler-1695 b,Kepler-1695,1,1,Transit,2020,Kepler,0,0,4.7329,1.119,1.46,0,98.57,0.02,791.175,4.43,0.0529
Kepler-1394 b,Kepler-1394,1,1,Transit,2016,Kepler,0,0,3.93766373,1.39,2.51,0,98.57,0.02,640.409,3.84,0.0555
Kepler-590 b,Kepler-590,1,1,Transit,2016,Kepler,0,0,5.85296257,4.02,15.2,0,98.57,0.02,1421.81,4.35,0.0647
WASP-193 b,WASP-193,1,1,Transit,2023,WASP-South,-32.38,20.81,6.2463345,16.41,44.17815,0.056,413,-0.06,362.087,4.28,0.0676
K2-37 b,K2-37,1,3,Transit,2016,K2,0,0,4.44117,1.61,3.22,0,98.57,0.02,179.943,4.52,0.0511
KOI-1599.01,KOI-1599,1,2,Transit,2019,Kepler,0,0,20.4415,1.9,4.6,0,98.57,0.02,1131.64,4.47,0.14728
Kepler-1253 b,Kepler-1253,1,1,Transit,2016,Kepler,0,0,68.8861915,1.33,2.33,0,98.57,0.02,514.524,4.33,0.3133
Kepler-1325 b,Kepler-1325,1,1,Transit,2016,Kepler,0,0,33.8786838,2.86,8.55,0,98.57,0.02,973.368,4.5,0.2004
Kepler-1330 b,Kepler-1330,1,1,Transit,2016,Kepler,0,0,10.10769068,1.65,3.36,0,98.57,0.02,1720.48,4.48,0.0889
K2-287 b,K2-287,1,1,Transit,2018,K2,0,0,14.893291,9.494,100.11645,0,98.57,0.02,158.335,4.4,0.1206
Kepler-428 b,Kepler-428,1,1,Transit,2014,Kepler,0,0,3.52563254,12.11,403.63,0,98.57,0.02,686.284,4.57,0.0433
K2-95 b,K2-95,1,1,Transit,2016,K2,0,0,10.1346454,3.31,11,0,98.57,0.02,179.854,4.85,0.0525
Kepler-1370 b,Kepler-1370,1,2,Transit,2016,Kepler,0,0,20.2641684,1.84,4.04,0,98.57,0.02,1004.1,4.29,0.1495
Kepler-338 c,Kepler-338,1,4,Transit,2014,Kepler,0,0,24.310856,2.34,6.08,0,98.57,0.02,552.798,4.02,0.172
TOI-421 b,TOI-421,2,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),30,-60,5.19672,2.68,7.17,0,98.57,0.02,74.7969,4.49,0.056
Kepler-337 b,Kepler-337,1,2,Transit,2014,Kepler,0,0,3.292781,1.54,2.99,0,98.57,0.02,677.975,4,0.045
Kepler-1337 b,Kepler-1337,1,1,Transit,2016,Kepler,0,0,24.4002549,2.41,6.39,0,98.57,0.02,601.629,4.64,0.1441
Kepler-1538 b,Kepler-1538,1,1,Transit,2016,Kepler,0,0,175.138819,2.82,8.35,0,98.57,0.02,1125.3,4.42,0.6095
Kepler-325 b,Kepler-325,1,3,Transit,2014,Kepler,0,0,4.544439,2.91,8.8,0,98.57,0.02,823.242,4.41,0.053
Kepler-318 b,Kepler-318,1,2,Transit,2014,Kepler,0,0,4.662715,4.71,19.9,0,98.57,0.02,489.141,4.33,0.056
Kepler-119 c,Kepler-119,1,2,Transit,2014,Kepler,0,0,4.125103,0.92,0.721,0,98.57,0.02,701.996,4.57,0.049
Kepler-323 b,Kepler-323,1,2,Transit,2014,Kepler,0,0,1.678328,1.381,3.9,0,98.57,0.02,454.883,4.38,0.02778
Kepler-1011 b,Kepler-1011,1,1,Transit,2016,Kepler,0,0,5.75322197,2.87,8.6,0,98.57,0.02,736.779,4.52,0.0633
Kepler-650 b,Kepler-650,1,1,Transit,2016,Kepler,0,0,3.03214559,2.96,9.06,0,98.57,0.02,884.378,4.21,0.0421
Kepler-918 b,Kepler-918,1,1,Transit,2016,Kepler,0,0,4.85386933,1.74,3.68,0,98.57,0.02,1025.03,4.37,0.0569
K2-348 c,K2-348,1,2,Transit,2018,K2,0,0,12.550171,2.67,7.61,0,98.57,0.02,201.856,4.5,0
K2-43 b,K2-43,1,2,Transit,2016,K2,0,0,3.471149,4.51,18.5,0,98.57,0.02,182.536,4.68,0.03784
Kepler-1705 b,Kepler-1705,1,2,Transit,2014,Kepler,0,0,9.03502,2.03,4.47,0,98.57,0.02,1633.49,4.3,0.08
WASP-4 b,WASP-4,1,1,Transit,2007,SuperWASP,28.76,-17.88,1.33823147,14.807,376.94638,0,1188.62,-0.07,267.206,4.47,0.0226
Kepler-401 b,Kepler-401,1,3,Transit,2014,Kepler,0,0,14.383035,1.71,3.57,0,98.57,0.02,965.56,4.25,0.122
CoRoT-20 b,CoRoT-20,1,2,Transit,2011,CoRoT,0,0,9.24285,9.416,1366.669,0.59,180.87,0.14,844.061,4.35,0.09
Kepler-1375 b,Kepler-1375,1,1,Transit,2016,Kepler,0,0,3.3004192,1.74,3.68,0,98.57,0.02,1430.84,4.11,0.0471
Kepler-1961 b,Kepler-1961,1,1,Transit,2021,Kepler,0,0,5.6047101,1.619,3.25,0,98.57,0.02,1042.45,4.59,0.0588
K2-207 b,K2-207,1,1,Transit,2018,K2,0,0,12.48749,2.606,7.3,0,98.57,0.02,363.064,4.41,0
K2-220 b,K2-220,1,1,Transit,2018,K2,0,0,13.683256,2.39,6.3,0,98.57,0.02,233.514,4.4,0.1104
Kepler-154 e,Kepler-154,1,5,Transit,2016,Kepler,0,0,3.93276465,1.5,2.86,0,98.57,0.02,915.212,4.45,0.047
KELT-11 b,KELT-11,1,1,Transit,2017,KELT-South,-32.3872,20.8117,4.7361,15.132,54.34893,0,98.57,0.02,99.1596,3.7,0.06229
HD 3167 b,HD 3167,1,4,Transit,2016,K2,0,0,0.959641,1.67,4.97,0,1650,0.04,47.2899,4.53,0.01796
Kepler-1991 c,Kepler-1991,1,2,Transit,2023,Kepler,0,0,22.79020351,2.57,7.13,0,98.57,0.02,855.82,4.35,0.1528
Kepler-1434 b,Kepler-1434,1,1,Transit,2016,Kepler,0,0,8.05333618,1.11,1.41,0,98.57,0.02,775.529,3.98,0.0894
Kepler-1177 b,Kepler-1177,1,1,Transit,2016,Kepler,0,0,106.247547,1.9,4.27,0,98.57,0.02,1299.97,4.46,0.4301
Kepler-1217 b,Kepler-1217,1,1,Transit,2016,Kepler,0,0,2.03232507,1.99,4.62,0,98.57,0.02,1347.71,4.4,0.0326
Kepler-342 c,Kepler-342,1,4,Transit,2014,Kepler,0,0,26.234138,1.96,4.5,0,98.57,0.02,781.611,4.19,0.185
Kepler-929 b,Kepler-929,1,1,Transit,2016,Kepler,0,0,0.92103214,1.11,1.41,0,98.57,0.02,1311.23,4.42,0.0192
Kepler-1805 b,Kepler-1805,1,1,Transit,2021,Kepler,0,0,8.84794044,1.545,3,0,98.57,0.02,221.639,4.72,0.0699
WASP-106 b,WASP-106,1,1,Transit,2014,SuperWASP,28.76,-17.88,9.28971,11.433,514.8846,0,315.86,-0.09,352.181,4.23,0.0917
Kepler-289 d,Kepler-289,1,3,Transit,2014,Kepler,0,0,66.0634,2.68,4,0,98.57,0.02,704.438,4.47,0.33
K2-97 b,K2-97,1,1,Transit,2016,K2,0,0,8.406726,10.61,152.5584,0,98.57,0.02,878.43,3.22,0.086
Kepler-374 b,Kepler-374,1,3,Transit,2014,Kepler,0,0,1.897806,1.03,1.08,0,98.57,0.02,1265.61,4.48,0.029
Kepler-336 b,Kepler-336,1,3,Transit,2014,Kepler,0,0,2.024823,1.02,1.04,0,98.57,0.02,768.86,4.26,0.033
Kepler-163 b,Kepler-163,1,2,Transit,2014,Kepler,0,0,7.810937,1.05,1.16,0,98.57,0.02,689.814,4.52,0.078
Kepler-1928 b,Kepler-1928,1,1,Transit,2021,Kepler,0,0,19.57783,1.992,4.63,0,98.57,0.02,326.362,4.53,0.194
Kepler-217 b,Kepler-217,1,3,Transit,2014,Kepler,0,0,5.374943,2.23,5.6,0,98.57,0.02,1104.64,4.03,0.065
Kepler-282 b,Kepler-282,1,4,Transit,2014,Kepler,0,0,9.220524,1.01,1.01,0,98.57,0.02,1337.61,4.46,0.082
Kepler-305 c,Kepler-305,1,4,Transit,2013,Kepler,0,0,8.291,3.3,6,0,98.57,0.02,868.477,4.51,0.0752
Kepler-897 b,Kepler-897,1,1,Transit,2016,Kepler,0,0,8.0472642,2.39,6.3,0,98.57,0.02,1519.25,4.41,0.077
Kepler-708 b,Kepler-708,1,1,Transit,2016,Kepler,0,0,3.16789194,2.93,8.91,0,98.57,0.02,1394.22,4.47,0.0426
Kepler-307 c,Kepler-307,1,2,Transit,2013,Kepler,0,0,13.0729,2.2,3.64,0,98.57,0.02,575.581,4.46,0.1068
Kepler-1290 b,Kepler-1290,1,1,Transit,2016,Kepler,0,0,4.69500134,1.42,2.6,0,98.57,0.02,1593.7,4.49,0.0557
Kepler-1542 c,Kepler-1542,1,4,Transit,2016,Kepler,0,0,2.89223021,0.65,0.208,0,98.57,0.02,399.114,4.41,0.0389
HATS-48 A b,HATS-48 A,2,1,Transit,2020,HATSouth,-31.2752,149.0686,3.1316666,8.967,77.23269,0.162,137.6,0.186,263.609,4.59,0.03769
Kepler-404 c,Kepler-404,1,2,Transit,2014,Kepler,0,0,14.751166,1.72,3.61,0,98.57,0.02,812.524,4.54,0.118
Kepler-956 b,Kepler-956,1,1,Transit,2016,Kepler,0,0,5.24867263,3,9.27,0,98.57,0.02,544.939,4.36,0.0596
Kepler-208 b,Kepler-208,1,4,Transit,2014,Kepler,0,0,4.22864,1.63,3.29,0,98.57,0.02,775.328,4.26,0.054
TOI-5344 b,TOI-5344,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),30,-60,3.792622,10.604,130.9453,0,98.57,0.02,138.367,4.69,0.04041
HAT-P-15 b,HAT-P-15,1,1,Transit,2010,HATNet,31.6881,-110.8857,10.8635,11.882,616.5902,0.19,79.76,0.22,192.516,4.38,0.0965
HIP 116454 b,HIP 116454,2,1,Transit,2014,K2,0,0,9.0949,2.53,10.1,0.089,51.4,-0.16,62.4491,4.59,0.07765
WASP-58 b,WASP-58,2,1,Transit,2012,SuperWASP,28.76,-17.88,5.01718,16.029,308.2951,0,404.71,-0.45,290.404,4.27,0.0562
HD 89345 b,HD 89345,1,1,Transit,2018,K2,0,0,11.8143,7.398,34.9613,0.22,275.64,0.421,132.345,4.02,0.1066
Kepler-155 c,Kepler-155,1,2,Transit,2014,Kepler,0,0,52.661793,2.24,5.65,0,98.57,0.02,293.499,4.68,0.242
K2-261 b,K2-261,1,1,Transit,2018,K2,0,0,11.633478,9.528,59.75174,0,98.57,0.02,213.283,4.04,0.1034
Kepler-511 c,Kepler-511,1,2,Transit,2021,Kepler,0,0,26.62949944,4.21,16.5,0,98.57,0.02,651.999,4.12,0.1722
Kepler-1418 b,Kepler-1418,1,1,Transit,2016,Kepler,0,0,22.4764425,1.66,3.39,0,98.57,0.02,499,4.61,0.131
HD 23472 b,HD 23472,1,5,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),30,-60,17.667087,2,8.32,0.072,16,-0.2,39.0341,4.53,0.1162
Kepler-1818 b,Kepler-1818,1,1,Transit,2021,Kepler,0,0,4.64490986,1.714,3.58,0,98.57,0.02,1034.59,4.34,0.055
K2-119 b,K2-119,1,1,Transit,2017,K2,0,0,7.727283,2.53,6.94,0.07,54.9,-0.05,365.581,4.62,0.0698
Kepler-1848 b,Kepler-1848,1,1,Transit,2021,Kepler,0,0,5.60402012,1.409,2.57,0,98.57,0.02,309.696,4.58,0.0563
Kepler-226 c,Kepler-226,1,3,Transit,2014,Kepler,0,0,5.349555,2.27,45.2,0,98.57,0.02,980.138,4.59,0.058
Qatar-8 b,Qatar-8,1,1,Transit,2019,Qatar,25.354826,51.183884,3.71495,14.404,117.91493,0,98.57,0.02,281.498,4.21,0.0474
LTT 1445 A c,LTT 1445 A,3,2,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),30,-60,3.1239035,1.147,1.54,0,98.57,0.02,6.86929,4.95,0.02661
Kepler-183 b,Kepler-183,1,2,Transit,2014,Kepler,0,0,5.687945,2.06,4.9,0,98.57,0.02,1050.64,4.5,0.064
K2-275 c,K2-275,1,2,Transit,2018,K2,0,0,8.4388385,2.21,5.52,0,98.57,0.02,123.438,4.65,0.0881
Kepler-835 b,Kepler-835,1,1,Transit,2016,Kepler,0,0,11.41909375,2.79,8.2,0,98.57,0.02,2406.33,4.38,0.107
Kepler-763 b,Kepler-763,1,3,Transit,2016,Kepler,0,0,1.19655156,1.22,1.98,0,98.57,0.02,962.459,4.57,0.0205
Kepler-311 d,Kepler-311,1,3,Transit,2023,Kepler,0,0,232.040326,2.05,4.86,0,98.57,0.02,778.654,4.3,0.7326
Kepler-56 b,Kepler-56,1,3,Transit,2012,Kepler,0,0,10.5016,6.51,22.1,0,98.57,0.02,912.994,3.31,0.1028
K2-128 b,K2-128,1,1,Transit,2017,K2,0,0,5.675819,1.42,2.6,0.23,68.8,-0.26,114.637,4.7,0.056
Kepler-44 b,Kepler-44,1,1,Transit,2011,Kepler,0,0,3.2467293,12.22,317.82,0,98.57,0.02,1188,4.22,0.0446
K2-10 b,K2-10,1,1,Transit,2015,K2,0,0,19.3044,3.84,27,0.31,54.1,-0.07,272.36,4.5,0.137
Kepler-1254 b,Kepler-1254,1,3,Transit,2016,Kepler,0,0,9.99113313,1.55,3.02,0,98.57,0.02,622.818,4.59,0.0833
Kepler-300 c,Kepler-300,1,2,Transit,2014,Kepler,0,0,40.714955,2.25,5.69,0,98.57,0.02,1098.45,4.53,0.232
Kepler-712 c,Kepler-712,1,2,Transit,2016,Kepler,0,0,226.89047,4.85,21,0,98.57,0.02,872.493,4.58,0.6732
Kepler-184 d,Kepler-184,1,3,Transit,2014,Kepler,0,0,29.022358,2.49,6.76,0,98.57,0.02,610.326,4.51,0.179
V1298 Tau c,V1298 Tau,3,4,Transit,2019,K2,0,0,8.24958,5.59,76.27882,0.43,146,0.1,108.199,4.25,0.0825
Kepler-830 b,Kepler-830,1,1,Transit,2016,Kepler,0,0,11.29695137,1.7,3.53,0,98.57,0.02,1122,4.38,0.1033
TOI-3785 b,TOI-3785,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),30,-60,4.6747373,5.14,14.95,0,98.57,0.02,79.7634,4.75,0.043
